"client_id","transactions","contacts_with_advisor","customer_satisfaction","products_held","age","income","churn"
1,57,4,3,5,57,73603,"0"
2,65,3,4,6,50,60936,"0"
3,35,7,5,2,49,25696,"0"
4,50,3,5,4,55,68964,"0"
5,22,4,5,3,57,94038,"0"
6,43,5,4,3,50,47078,"0"
7,46,3,5,4,55,61065,"0"
8,18,8,5,1,60,77281,"1"
9,39,2,5,3,58,90462,"0"
10,43,2,4,4,66,61139,"0"
11,30,5,5,2,27,37246,"0"
12,47,1,5,4,54,38916,"0"
13,65,1,3,6,52,71428,"0"
14,21,5,5,2,41,73577,"0"
15,23,4,3,2,41,53359,"1"
16,73,0,5,6,56,84299,"1"
17,77,0,3,7,46,68443,"1"
18,17,5,5,1,47,60199,"0"
19,24,4,5,2,56,78118,"0"
20,35,5,5,3,64,78817,"0"
21,49,3,5,5,75,52300,"0"
22,11,8,5,1,59,80963,"0"
23,86,0,3,7,74,84328,"0"
24,68,0,5,6,65,110689,"0"
25,2,6,5,1,54,97931,"0"
26,41,4,5,3,53,49547,"0"
27,22,5,5,2,73,101470,"0"
28,58,5,4,5,38,61803,"1"
29,24,4,5,2,51,54322,"0"
30,43,5,4,4,52,66039,"0"
31,56,4,4,4,22,54123,"0"
32,42,3,3,4,46,59136,"0"
33,24,8,5,2,54,47905,"0"
34,23,4,3,3,18,46398,"1"
35,0,6,4,1,54,43444,"0"
36,54,1,5,4,47,59879,"1"
37,20,5,4,1,55,78139,"0"
38,18,6,4,1,59,44755,"0"
39,64,2,5,5,67,74231,"0"
40,28,2,5,3,30,60569,"0"
41,29,5,3,2,51,61314,"0"
42,16,4,4,2,42,48855,"1"
43,24,8,5,1,50,44583,"0"
44,95,3,4,7,48,66714,"0"
45,26,4,4,2,36,72705,"0"
46,77,1,4,6,28,47979,"0"
47,58,2,5,5,75,74577,"0"
48,44,3,5,3,34,56017,"0"
49,81,0,3,7,53,73851,"1"
50,25,3,5,3,37,79244,"0"
51,21,3,4,2,68,97771,"1"
52,29,5,4,2,29,28984,"1"
53,29,6,4,2,39,61852,"0"
54,41,3,3,4,35,61589,"0"
55,21,5,5,1,51,58356,"0"
56,49,3,4,4,44,63238,"0"
57,35,4,3,3,79,93368,"0"
58,21,6,3,1,50,69842,"1"
59,40,4,4,2,66,52896,"0"
60,40,4,5,3,60,84507,"0"
61,24,4,5,3,58,88507,"0"
62,89,1,3,7,56,80167,"0"
63,44,4,4,4,53,24993,"0"
64,37,4,3,3,41,77060,"0"
65,40,5,2,4,46,38447,"1"
66,16,4,4,1,56,84371,"0"
67,31,4,4,2,20,39617,"0"
68,50,3,3,4,28,37446,"0"
69,49,4,5,3,45,33279,"1"
70,-0,5,3,1,28,57965,"0"
71,13,4,3,1,51,52246,"0"
72,9,6,4,1,56,58170,"1"
73,27,4,4,1,61,65472,"0"
74,24,3,5,2,63,62473,"0"
75,15,5,5,1,57,43471,"0"
76,47,4,5,4,57,31306,"0"
77,1,5,5,1,53,71569,"0"
78,28,4,5,2,50,73127,"0"
79,31,5,5,3,40,50712,"0"
80,9,7,5,1,77,63639,"1"
81,50,5,4,3,40,70234,"0"
82,6,6,5,1,70,57566,"1"
83,26,6,4,2,61,74222,"0"
84,35,3,4,3,74,55014,"0"
85,48,3,3,4,59,81930,"0"
86,49,4,5,3,45,62467,"0"
87,11,6,3,1,46,54558,"1"
88,11,7,5,1,34,43925,"1"
89,24,6,5,1,62,81833,"0"
90,32,4,2,2,51,77264,"0"
91,38,4,5,3,49,79899,"0"
92,15,9,5,1,51,93456,"0"
93,17,6,5,1,42,42448,"1"
94,77,0,3,6,45,49699,"0"
95,82,0,5,6,59,103494,"1"
96,45,3,3,4,66,75391,"0"
97,24,5,5,2,51,78724,"0"
98,26,4,4,3,53,66296,"0"
99,57,7,4,4,53,44461,"1"
100,40,2,4,3,52,78504,"0"
101,17,3,4,3,47,68167,"0"
102,17,6,5,1,57,43291,"1"
103,19,5,5,1,58,55013,"0"
104,28,6,4,2,52,55315,"0"
105,79,0,3,6,57,71629,"0"
106,74,0,3,6,43,54550,"0"
107,46,3,4,4,52,56081,"0"
108,44,2,5,4,57,70405,"0"
109,24,2,5,3,49,61744,"0"
110,14,5,2,1,49,23001,"1"
111,30,4,5,3,44,44861,"1"
112,46,2,4,4,57,62085,"0"
113,40,2,5,4,53,72418,"0"
114,37,5,4,2,82,86169,"0"
115,27,5,5,3,48,53665,"0"
116,48,4,5,3,51,49448,"0"
117,13,8,1,1,38,43319,"1"
118,30,6,2,2,61,64067,"0"
119,32,4,4,3,46,54785,"0"
120,48,9,1,4,52,61890,"1"
121,20,3,5,2,61,63284,"1"
122,11,4,4,2,68,35269,"0"
123,44,3,4,3,47,81189,"0"
124,49,4,3,3,46,39270,"0"
125,40,1,3,4,52,46042,"0"
126,26,5,5,2,65,63975,"1"
127,55,3,4,5,51,75851,"0"
128,70,0,4,6,52,63405,"0"
129,9,4,5,1,59,72078,"1"
130,50,1,3,4,59,62225,"0"
131,60,2,4,5,63,69923,"0"
132,37,3,5,3,27,34257,"0"
133,35,6,3,3,36,45150,"0"
134,76,1,2,6,36,31183,"0"
135,60,1,5,5,55,63252,"1"
136,38,6,4,3,34,22592,"0"
137,64,1,2,4,47,63640,"1"
138,11,4,5,1,55,102088,"0"
139,45,1,5,4,73,48271,"0"
140,35,8,3,3,47,38601,"0"
141,5,5,4,1,50,52595,"0"
142,22,5,5,1,53,45433,"0"
143,24,3,4,2,43,58342,"0"
144,51,3,4,4,18,70045,"0"
145,48,4,4,4,68,93317,"0"
146,46,3,3,4,46,50382,"0"
147,9,9,5,1,41,69518,"1"
148,68,3,2,6,53,81564,"0"
149,38,3,5,2,43,63133,"1"
150,5,5,5,1,61,50349,"0"
151,54,3,4,4,45,72365,"0"
152,23,8,5,2,60,75319,"0"
153,38,1,5,4,47,81237,"1"
154,28,5,5,2,38,39667,"1"
155,36,4,4,3,59,64908,"0"
156,41,2,3,4,79,68435,"0"
157,12,9,5,1,38,24035,"0"
158,15,6,2,1,45,49319,"1"
159,19,4,5,1,36,55813,"1"
160,27,3,5,3,69,78373,"0"
161,73,1,2,6,52,45207,"0"
162,32,2,5,3,22,63568,"0"
163,31,4,5,3,24,59224,"0"
164,12,7,5,1,61,52739,"1"
165,44,2,3,3,54,72009,"0"
166,6,6,5,1,26,16201,"1"
167,22,7,5,2,36,36895,"0"
168,27,4,4,2,55,74649,"0"
169,5,7,4,1,51,51181,"0"
170,7,5,5,1,28,32011,"0"
171,52,2,4,4,59,71119,"0"
172,19,4,4,2,45,41265,"0"
173,26,4,5,2,65,42509,"0"
174,19,4,5,2,55,64423,"0"
175,31,4,5,2,64,64324,"1"
176,16,7,5,1,26,39634,"0"
177,55,3,4,4,59,79823,"1"
178,35,3,5,3,63,63375,"0"
179,56,3,4,4,56,62339,"1"
180,47,2,4,4,37,33637,"0"
181,65,2,4,5,49,36254,"0"
182,60,1,5,5,27,44208,"0"
183,32,6,5,2,43,34899,"0"
184,33,5,3,2,41,54750,"1"
185,45,2,3,4,54,60224,"0"
186,41,2,5,4,76,96674,"0"
187,52,3,3,5,54,59915,"0"
188,43,7,4,4,45,54147,"0"
189,0,4,5,1,61,54817,"0"
190,34,4,5,2,59,60372,"0"
191,9,6,4,1,53,54226,"0"
192,40,2,4,4,42,68209,"0"
193,1,6,4,1,57,41121,"0"
194,15,7,5,1,58,65713,"1"
195,4,8,4,1,54,55951,"0"
196,13,5,5,1,73,98924,"0"
197,29,5,3,3,78,53992,"0"
198,8,4,5,1,38,30636,"0"
199,49,1,4,4,55,63529,"1"
200,61,5,5,4,35,66338,"1"
201,60,2,2,5,43,68118,"1"
202,38,4,5,3,45,48336,"0"
203,57,3,5,5,48,64178,"0"
204,6,7,4,2,71,41896,"1"
205,17,6,5,1,40,55553,"1"
206,31,4,5,2,56,81697,"0"
207,79,1,4,6,59,72761,"0"
208,19,5,5,2,53,54379,"0"
209,16,3,3,2,57,45186,"0"
210,27,3,4,2,42,44706,"0"
211,22,4,5,3,44,77728,"0"
